vendor,product_code,product_title_local,product_title_english,anwendung,spezies,zielprotein,packung,preis_eur,waehrung,lagerstatus,beschreibung,ce_ivd,research_only,country_market
EuroLab,EL-54291,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-12603,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-25845,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-54077,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-28395,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-16703,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-96871,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-56406,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-40058,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-12261,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-79903,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-72834,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-78152,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-94051,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-40443,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-24242,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-96552,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-35786,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-40779,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-55382,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-66102,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-29260,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-27163,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-39872,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-47341,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-48019,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-38949,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-90091,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-49536,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-84674,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-41423,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-95917,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-64185,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-94046,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-20554,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-86573,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-25663,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
BioGnostics,BG-75613,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
BioGnostics,BG-74588,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-13910,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
BioGnostics,BG-89787,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
BioGnostics,BG-82076,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-31848,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-62243,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-96600,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-57908,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-50698,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
NordAssay,NA-88483,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-98530,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-44295,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-67336,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-69087,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-34726,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-86857,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-33412,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-70367,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-67210,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-87509,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-37135,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-29256,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-30427,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-15090,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-54552,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-50390,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-10588,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-42664,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-72099,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
BioGnostics,BG-83601,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-37382,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-68893,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-89635,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-17737,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-45619,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-56006,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-50644,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-89819,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
NordAssay,NA-29285,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
NordAssay,NA-30681,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-46004,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-28111,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-66051,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-29684,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-17838,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-35755,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-67770,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-88967,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-85517,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-37784,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
BioGnostics,BG-81900,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-21083,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-16235,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
BioGnostics,BG-79768,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-36023,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-36073,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
BioGnostics,BG-92229,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-20746,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-20388,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
BioGnostics,BG-54230,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-44845,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-86262,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-63870,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
NordAssay,NA-49059,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
BioGnostics,BG-16770,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-90911,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-45878,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-97641,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-68571,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-18189,IL-6 ELISA Kit,IL-6 ELISA Kit,ELISA,Human,IL6,96 Tests,"520,00",EUR,2 Wochen,Sandwich ELISA fur Serum und Plasma,N,Y,DE
EuroLab,EL-87433,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
BioGnostics,BG-37871,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-33277,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-64137,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-28925,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-42627,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
EuroLab,EL-39598,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
BioGnostics,BG-76904,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
EuroLab,EL-54332,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-61240,PBMC kryokonserviert,Human PBMC Cryopreserved,Cell Assay,Human,,10 Vials,"640,00",EUR,3 Wochen,Gesunder Spender,N,Y,DE
EuroLab,EL-18246,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
EuroLab,EL-74643,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
EuroLab,EL-53952,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-28054,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-70927,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-28888,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
NordAssay,NA-14143,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-57190,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-22972,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
NordAssay,NA-14064,Rekombinantes humanes IL-2,Recombinant Human IL-2,Cell culture,Human,IL-2,10 ug,"132,00",EUR,Lagernd,Carrier-free protein,N,Y,DE
EuroLab,EL-71108,CD3 Antikorper FITC,Anti-CD3 FITC Antibody,Cytometrie en flux,Homme,CD3,"0,1 mL","299,00",EUR,Lagernd,"Klon UCHT1, fur Vollblut",N,Y,FR
BioGnostics,BG-34481,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
NordAssay,NA-98954,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
NordAssay,NA-96959,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-50695,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
BioGnostics,BG-46136,GAPDH Antikorper,Anti-GAPDH Antibody,Western Blot,"Human, Maus",GAPDH,100 uL,"199,00",EUR,Lagernd,Kaninchen polyklonal,N,Y,DE
NordAssay,NA-76965,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-42586,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
EuroLab,EL-68841,Anti-CD20 Antikorper,Anti-CD20 Antibody,Durchflusszytometrie,Mensch,,100 uL,"389,50",EUR,Lagernd,"Fur humane Proben validiert, Klon 2H7, FITC",N,Y,DE
NordAssay,NA-73824,TNF-alpha ELISA Kit,TNF alpha ELISA Kit,ELISA,Human,TNF-alpha,1 x 96 wells,"495,00",EUR,1 Woche,"Geeignet fur Serum, Plasma",N,Y,DE
EuroLab,EL-10557,HeLa Zelllysat,HeLa Cell Lysate,WB,Human,,100 ug,"119,00",EUR,Abgekundigt,Gesamtzelllysat aus HeLa,N,Y,DE
EuroLab,EL-33133,Anti-CD20 Antikorper PE,Anti-CD20 Antibody PE,FACS,Human,CD20,100ul,"402,00",EUR,Lagernd,PE konjugiert fur Flow Cytometry,N,Y,DE
BioGnostics,BG-35711,BCA Protein Assay Kit,BCA Protein Assay Kit,Proteinbestimmung,,,500 Tests,"175,00",EUR,Lagernd,Colorimetrische Bestimmung,N,Y,DE
